N     Sum up     Sum down
230      0.26121554       6.017468
231      0.26251423       6.0217972
232      0.26381463       6.0261073
233      0.26511672       6.0303993
234      0.26642051       6.0346727
235      0.267726       6.038928
236      0.26903319       6.0431652
237      0.27034208       6.0473847
238      0.2716527       6.0515866
239      0.27296504       6.0557709
240      0.27427912       6.0599375
241      0.27559492       6.0640869
242      0.27691245       6.0682192
243      0.27823171       6.0723343
244      0.27955273       6.0764327
245      0.28087547       6.0805144
246      0.28219998       6.0845795
247      0.28352624       6.0886278
248      0.28485426       6.09266
249      0.28618404       6.0966759
250      0.28751561       6.1006761
251      0.28884894       6.10466
252      0.29018405       6.1086283
253      0.29152095       6.1125808
254      0.29285964       6.116518
255      0.29420012       6.1204395
256      0.29554242       6.1243458
257      0.2968865       6.1282368
258      0.29823241       6.1321125
259      0.29958013       6.1359735
260      0.30092967       6.1398196
261      0.30228102       6.143651
262      0.3036342       6.1474676
263      0.30498922       6.1512699
264      0.30634606       6.1550579
265      0.30770475       6.1588316
266      0.30906528       6.162591
267      0.31042767       6.1663365
268      0.31179193       6.1700678
269      0.31315804       6.1737852
270      0.31452602       6.1774888
271      0.31589589       6.181179
272      0.31726763       6.1848555
273      0.31864125       6.1885185
274      0.32001677       6.1921682
275      0.32139418       6.1958046
276      0.32277349       6.1994276
277      0.3241547       6.2030377
278      0.32553783       6.206635
279      0.32692286       6.2102194
280      0.32830983       6.2137909
281      0.32969871       6.2173495
282      0.33108953       6.2208958
283      0.33248228       6.2244291
284      0.33387697       6.2279501
285      0.33527362       6.2314587
286      0.33667222       6.2349553
287      0.33807278       6.2384396
288      0.3394753       6.2419119
289      0.3408798       6.2453723
290      0.34228626       6.2488208
291      0.34369472       6.2522573
292      0.34510514       6.255682
293      0.34651756       6.2590952
294      0.34793198       6.2624965
295      0.34934843       6.2658863
296      0.35076687       6.2692647
297      0.35218734       6.2726316
298      0.3536098       6.2759871
299      0.35503429       6.2793317
300      0.35646084       6.2826653
301      0.35788941       6.2859874
302      0.35932001       6.2892985
303      0.36075267       6.2925987
304      0.36218739       6.2958884
305      0.36362416       6.2991672
306      0.36506301       6.3024349
307      0.36650392       6.3056922
308      0.36794692       6.308939
309      0.36939201       6.3121753
310      0.37083918       6.3154011
311      0.37228847       6.3186164
312      0.37373984       6.3218217
313      0.37519333       6.3250165
314      0.37664893       6.3282013
315      0.37810665       6.3313761
316      0.37956652       6.3345408
317      0.3810285       6.3376956
318      0.38249263       6.3408403
319      0.38395891       6.3439751
320      0.38542733       6.3471003
321      0.38689792       6.3502154
322      0.38837066       6.3533211
323      0.38984558       6.3564172
324      0.39132267       6.3595037
325      0.39280197       6.3625808
326      0.39428344       6.3656483
327      0.39576712       6.3687062
328      0.39725301       6.3717551
329      0.3987411       6.3747945
330      0.40023142       6.3778248
331      0.40172395       6.380846
332      0.40321872       6.3838582
333      0.40471572       6.3868613
334      0.40621495       6.3898554
335      0.40771645       6.3928404
336      0.40922022       6.3958168
337      0.41072625       6.3987842
338      0.41223454       6.4017429
339      0.41374511       6.4046926
340      0.41525796       6.4076338
341      0.41677311       6.4105663
342      0.41829056       6.4134903
343      0.41981032       6.4164057
344      0.42133239       6.4193125
345      0.42285678       6.4222112
346      0.42438349       6.4251013
347      0.42591253       6.4279833
348      0.42744392       6.4308567
349      0.42897767       6.433722
350      0.43051377       6.4365792
351      0.43205222       6.4394283
352      0.43359306       6.4422693
353      0.43513629       6.4451022
354      0.4366819       6.447927
355      0.43822989       6.4507437
356      0.43978027       6.4535527
357      0.44133306       6.4563537
358      0.44288826       6.459147
359      0.44444588       6.4619327
360      0.44600594       6.4647102
361      0.44756845       6.4674802
362      0.4491334       6.4702425
363      0.45070079       6.4729972
364      0.45227066       6.4757442
365      0.453843       6.4784842
366      0.45541781       6.4812164
367      0.4569951       6.4839411
368      0.45857489       6.4866586
369      0.46015716       6.4893684
370      0.46174195       6.4920712
371      0.46332926       6.4947667
372      0.46491909       6.4974551
373      0.46651146       6.5001359
374      0.46810636       6.5028095
375      0.46970379       6.505476
376      0.47130379       6.5081358
377      0.47290635       6.5107884
378      0.47451147       6.5134339
379      0.47611919       6.5160723
380      0.4777295       6.5187039
381      0.4793424       6.5213284
382      0.4809579       6.5239463
383      0.48257601       6.5265574
384      0.48419675       6.5291615
385      0.48582011       6.5317588
386      0.48744613       6.5343494
387      0.4890748       6.5369334
388      0.49070612       6.5395107
389      0.49234012       6.5420814
390      0.49397677       6.5446453
391      0.49561611       6.5472031
392      0.49725816       6.5497541
393      0.49890289       6.5522985
394      0.50055033       6.5548368
395      0.50220048       6.5573683
396      0.50385338       6.5598936
397      0.50550902       6.5624123
398      0.5071674       6.5649247
399      0.50882852       6.567431
400      0.51049244       6.569931
401      0.51215911       6.5724249
402      0.51382858       6.5749125
403      0.51550084       6.577394
404      0.51717591       6.5798693
405      0.51885378       6.5823383
406      0.52053446       6.5848012
407      0.52221793       6.5872583
408      0.52390426       6.5897093
409      0.52559346       6.5921545
410      0.52728552       6.5945935
411      0.52898043       6.5970268
412      0.53067821       6.5994539
413      0.53237891       6.6018753
414      0.53408247       6.604291
415      0.53578895       6.6067004
