# Spherical Bessel functions via up and down recursion
x          ans_down            ans_up             error           ans_gsl
0.10000000  7.27151100e-21  3.42674434e+02 1.00000000e+00 3.33000119e-02
0.20000000  7.44117253e-18 -1.37159336e-01 1.00000000e+00 6.64003807e-02
0.30000000  4.28629297e-16  3.90825579e-04 1.00000000e+00 9.91028880e-02
0.40000000  7.59990549e-15 -3.66289640e-04 1.00000000e+00 1.31212154e-01
0.50000000  7.06412396e-14 -2.15357267e-05 1.00000000e+00 1.62537031e-01
0.60000000  4.36346695e-13  3.81548434e-06 9.99999771e-01 1.92891957e-01
0.70000000  2.03269081e-12 -7.70117235e-07 1.00000000e+00 2.22098278e-01
0.80000000  7.70146281e-12 -3.54663507e-07 1.00000000e+00 2.49985505e-01
0.90000000  2.49167513e-11 -1.19853384e-07 1.00000000e+00 2.76392516e-01
1.00000000  7.11655264e-11 -2.27895530e-08 1.00000000e+00 3.01168679e-01
1.10000000  1.83742679e-10  5.86030228e-09 9.39198772e-01 3.24174898e-01
1.20000000  4.36434583e-10 -4.87672616e-09 1.00000000e+00 3.45284570e-01
1.30000000  9.66436816e-10 -1.53302670e-09 1.00000000e+00 3.64384443e-01
1.40000000  2.01587241e-09  2.26030055e-09 5.71604883e-02 3.81375372e-01
1.50000000  3.99344070e-09  3.44967523e-09 7.30561595e-02 3.96172971e-01
1.60000000  7.56302213e-09  7.33667275e-09 1.51915448e-02 4.08708140e-01
1.70000000  1.37674742e-08  1.37292040e-08 1.39181060e-03 4.18927492e-01
1.80000000  2.41973554e-08  2.41995347e-08 4.50289832e-05 4.26793642e-01
1.90000000  4.12158807e-08  4.12450617e-08 3.53877425e-04 4.32285392e-01
2.00000000  6.82530086e-08  6.83419910e-08 6.51432152e-04 4.35397775e-01
2.10000000  1.10183156e-07  1.10186860e-07 1.68076022e-05 4.36141992e-01
2.20000000  1.73802576e-07  1.73800116e-07 7.07783084e-06 4.34545219e-01
2.30000000  2.68423900e-07  2.68427971e-07 7.58338770e-06 4.30650295e-01
2.40000000  4.06606642e-07  4.06602432e-07 5.17783663e-06 4.24515295e-01
2.50000000  6.05043623e-07  6.05045591e-07 1.62630727e-06 4.16212989e-01
2.60000000  8.85624115e-07  8.85625841e-07 9.74510960e-07 4.05830197e-01
2.70000000  1.27669516e-06  1.27669838e-06 1.25992210e-06 3.93467032e-01
2.80000000  1.81454273e-06  1.81454283e-06 2.70944897e-08 3.79236059e-01
2.90000000  2.54511432e-06  2.54511372e-06 1.17072933e-07 3.63261356e-01
3.00000000  3.52600389e-06  3.52600290e-06 1.41151597e-07 3.45677500e-01
3.10000000  4.82871932e-06  4.82871959e-06 2.86083104e-08 3.26628473e-01
3.20000000  6.54125051e-06  6.54125077e-06 2.02067963e-08 3.06266517e-01
3.30000000  8.77095477e-06  8.77095484e-06 4.14131520e-09 2.84750923e-01
