#  N     trapezoid       Milne        GSL  
#-----------------------------------------
2.352183e+00  -6.923690e+00  -7.571665e-02  -inf
2.356026e+00  -6.747599e+00  -7.572473e-02  -inf
2.359835e+00  -6.622660e+00  -7.570108e-02  -inf
2.363612e+00  -6.923690e+00  -7.572456e-02  -inf
2.367356e+00  -6.525750e+00  -7.567902e-02  -inf
2.371068e+00  -6.622660e+00  -7.571700e-02  -inf
2.374748e+00  -6.923690e+00  -7.572438e-02  -inf
2.378398e+00  -6.622660e+00  -7.570270e-02  -inf
2.382017e+00  -inf  -7.572426e-02  -inf
2.385606e+00  -inf  -7.568238e-02  -inf
2.389166e+00  -7.224720e+00  -7.571730e-02  -inf
2.392697e+00  -inf  -7.572409e-02  -inf
2.396199e+00  -inf  -7.570412e-02  -inf
2.399674e+00  -7.224720e+00  -7.572397e-02  -inf
2.403121e+00  -6.923690e+00  -7.568536e-02  -inf
2.406540e+00  -6.923690e+00  -7.571755e-02  -inf
2.409933e+00  -7.224720e+00  -7.572386e-02  -inf
2.413300e+00  -6.747599e+00  -7.570537e-02  -inf
2.416641e+00  -7.224720e+00  -7.572374e-02  -inf
2.419956e+00  -inf  -7.568802e-02  -inf
2.423246e+00  -inf  -7.571777e-02  -inf
2.426511e+00  -6.923690e+00  -7.572359e-02  -inf
2.429752e+00  -inf  -7.570651e-02  -inf
2.432969e+00  -inf  -7.572352e-02  -inf
2.436163e+00  -6.622660e+00  -7.569038e-02  -inf
2.439333e+00  -inf  -7.571801e-02  -inf
2.442480e+00  -6.923690e+00  -7.572339e-02  -inf
2.445604e+00  -6.923690e+00  -7.570752e-02  -inf
2.448706e+00  -6.923690e+00  -7.572330e-02  -inf
2.451786e+00  -inf  -7.569249e-02  -inf
2.454845e+00  -6.923690e+00  -7.571819e-02  -inf
2.457882e+00  -6.321630e+00  -7.572320e-02  -inf
2.460898e+00  -6.747599e+00  -7.570841e-02  -inf
2.463893e+00  -inf  -7.572314e-02  -inf
2.466868e+00  -6.446569e+00  -7.569438e-02  -inf
2.469822e+00  -6.622660e+00  -7.571835e-02  -inf
2.472756e+00  -6.622660e+00  -7.572307e-02  -inf
2.475671e+00  -inf  -7.570923e-02  -inf
2.478566e+00  -inf  -7.572296e-02  -inf
2.481443e+00  -6.622660e+00  -7.569611e-02  -inf
2.484300e+00  -6.622660e+00  -7.571850e-02  -inf
2.487138e+00  -6.747599e+00  -7.572290e-02  -inf
2.489958e+00  -6.525750e+00  -7.570995e-02  -inf
2.492760e+00  -inf  -7.572284e-02  -inf
2.495544e+00  -inf  -7.569765e-02  -inf
2.498311e+00  -6.747599e+00  -7.571863e-02  -inf
2.501059e+00  -6.923690e+00  -7.572276e-02  -inf
2.503791e+00  -6.321630e+00  -7.571062e-02  -inf
2.506505e+00  -6.923690e+00  -7.572272e-02  -inf
2.509203e+00  -6.923690e+00  -7.569906e-02  -inf
2.511883e+00  -6.923690e+00  -7.571876e-02  -inf
2.514548e+00  -6.446569e+00  -7.572264e-02  -inf
2.517196e+00  -6.446569e+00  -7.571124e-02  -inf
2.519828e+00  -6.923690e+00  -7.572258e-02  -inf
2.522444e+00  -7.224720e+00  -7.570035e-02  -inf
2.525045e+00  -6.923690e+00  -7.571889e-02  -inf
2.527630e+00  -inf  -7.572253e-02  -inf
2.530200e+00  -6.446569e+00  -7.571178e-02  -inf
2.532754e+00  -6.923690e+00  -7.572251e-02  -inf
2.535294e+00  -6.622660e+00  -7.570151e-02  -inf
2.537819e+00  -6.622660e+00  -7.571896e-02  -inf
2.540329e+00  -6.923690e+00  -7.572242e-02  -inf
2.542825e+00  -6.525750e+00  -7.571230e-02  -inf
2.545307e+00  -inf  -7.572237e-02  -inf
2.547775e+00  -inf  -7.570258e-02  -inf
2.550228e+00  -6.923690e+00  -7.571907e-02  -inf
2.552668e+00  -6.622660e+00  -7.572234e-02  -inf
2.555094e+00  -6.622660e+00  -7.571276e-02  -inf
2.557507e+00  -inf  -7.572229e-02  -inf
2.559907e+00  -6.923690e+00  -7.570357e-02  -inf
2.562293e+00  -7.224720e+00  -7.571916e-02  -inf
2.564666e+00  -6.923690e+00  -7.572222e-02  -inf
2.567026e+00  -6.622660e+00  -7.571319e-02  -inf
2.569374e+00  -6.923690e+00  -7.572221e-02  -inf
2.571709e+00  -6.622660e+00  -7.570448e-02  -inf
2.574031e+00  -7.224720e+00  -7.571925e-02  -inf
2.576341e+00  -6.270477e+00  -7.572215e-02  -inf
2.578639e+00  -6.923690e+00  -7.571359e-02  -inf
2.580925e+00  -inf  -7.572214e-02  -inf
2.583199e+00  -6.446569e+00  -7.570533e-02  -inf
2.585461e+00  -6.923690e+00  -7.571933e-02  -inf
2.587711e+00  -6.622660e+00  -7.572211e-02  -inf
2.589950e+00  -inf  -7.571393e-02  -inf
2.592177e+00  -6.923690e+00  -7.572206e-02  -inf
2.594393e+00  -6.224720e+00  -7.570611e-02  -inf
2.596597e+00  -6.622660e+00  -7.571939e-02  -inf
2.598791e+00  -6.923690e+00  -7.572202e-02  -inf
2.600973e+00  -6.525750e+00  -7.571428e-02  -inf
2.603144e+00  -6.622660e+00  -7.572198e-02  -inf
2.605305e+00  -7.224720e+00  -7.570684e-02  -inf
2.607455e+00  -6.923690e+00  -7.571944e-02  -inf
2.609594e+00  -6.321630e+00  -7.572196e-02  -inf
2.611723e+00  -6.525750e+00  -7.571459e-02  -inf
2.613842e+00  -6.923690e+00  -7.572193e-02  -inf
2.615950e+00  -6.923690e+00  -7.570749e-02  -inf
2.618048e+00  -6.923690e+00  -7.571951e-02  -inf
2.620136e+00  -6.747599e+00  -7.572188e-02  -inf
2.622214e+00  -6.923690e+00  -7.571488e-02  -inf
2.624282e+00  -6.747599e+00  -7.572188e-02  -inf
2.626340e+00  -6.622660e+00  -7.570809e-02  -inf
2.628389e+00  -6.622660e+00  -7.571957e-02  -inf
2.630428e+00  -6.525750e+00  -7.572184e-02  -inf
2.632457e+00  -6.923690e+00  -7.571514e-02  -inf
2.634477e+00  -6.622660e+00  -7.572181e-02  -inf
2.636488e+00  -6.321630e+00  -7.570868e-02  -inf
2.638489e+00  -6.923690e+00  -7.571961e-02  -inf
2.640481e+00  -6.321630e+00  -7.572178e-02  -inf
2.642465e+00  -6.923690e+00  -7.571540e-02  -inf
2.644439e+00  -6.622660e+00  -7.572175e-02  -inf
2.646404e+00  -6.747599e+00  -7.570923e-02  -inf
2.648360e+00  -6.923690e+00  -7.571968e-02  -inf
2.650308e+00  -6.525750e+00  -7.572174e-02  -inf
2.652246e+00  -inf  -7.571564e-02  -inf
2.654177e+00  -7.224720e+00  -7.572172e-02  -inf
2.656098e+00  -6.923690e+00  -7.570973e-02  -inf
2.658011e+00  -6.923690e+00  -7.571973e-02  -inf
2.659916e+00  -6.923690e+00  -7.572168e-02  -inf
2.661813e+00  -6.747599e+00  -7.571585e-02  -inf
2.663701e+00  -6.747599e+00  -7.572168e-02  -inf
2.665581e+00  -6.525750e+00  -7.571019e-02  -inf
2.667453e+00  -6.525750e+00  -7.571976e-02  -inf
2.669317e+00  -7.224720e+00  -7.572167e-02  -inf
2.671173e+00  -6.923690e+00  -7.571607e-02  -inf
2.673021e+00  -6.321630e+00  -7.572162e-02  -inf
2.674861e+00  -6.923690e+00  -7.571064e-02  -inf
2.676694e+00  -6.923690e+00  -7.571983e-02  -inf
2.678518e+00  -6.923690e+00  -7.572162e-02  -inf
2.680336e+00  -6.379622e+00  -7.571624e-02  -inf
2.682145e+00  -6.622660e+00  -7.572161e-02  -inf
2.683947e+00  -6.446569e+00  -7.571107e-02  -inf
2.685742e+00  -6.923690e+00  -7.571984e-02  -inf
2.687529e+00  -inf  -7.572157e-02  -inf
2.689309e+00  -inf  -7.571643e-02  -inf
2.691081e+00  -6.525750e+00  -7.572156e-02  -inf
2.692847e+00  -inf  -7.571145e-02  -inf
2.694605e+00  -6.622660e+00  -7.571988e-02  -inf
2.696356e+00  -6.923690e+00  -7.572154e-02  -inf
2.698101e+00  -6.923690e+00  -7.571659e-02  -inf
2.699838e+00  -6.923690e+00  -7.572152e-02  -inf
